University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
;0,32500;0,02400;0,01800;0;0
;0,32600;-0,01000;0,01900;0;0
;0,32600;0,02300;0,02000;0;0
;0,32700;-0,01300;0,02100;0;0
;0,32700;-0,00500;0,02100;0;0
;0,32800;0,00300;0,02200;0;0
;0,32800;0,05500;0,02200;0;0
;0,32900;-0,06300;0,02200;0;0
;0,32900;0,05500;0,02100;0;0
;0,33000;0,05400;0,02100;0;0
;0,33000;0,07100;0,02000;0;0
;0,33100;0,02300;0,02000;0;0
;0,33100;0,08500;0,02000;0;0
;0,33200;0,04000;0,02000;0;0
;0,33200;-0,00500;0,02000;0;0
;0,33300;-0,02400;0,02100;0;0
;0,33300;0,00700;0,02100;0;0
;0,33400;-0,01000;0,02200;0;0
;0,33400;0,02000;0,02200;0;0
;0,33500;0,00400;0,02200;0;0
;0,33500;0,01500;0,02200;0;0
;0,33600;0,00200;0,02200;0;0
;0,33600;0,05800;0,02200;0;0
;0,33700;-0,01200;0,02100;0;0
;0,33700;0,01400;0,02100;0;0
;0,33800;-0,04900;0,02000;0;0
;0,33800;-0,02200;0,01900;0;0
;0,33900;0,03200;0,01800;0;0
;0,33900;0,00500;0,01700;0;0
;0,34000;-0,03900;0,01600;0;0
;0,34000;0,01300;0,01500;0;0
;0,34100;-0,05900;0,01300;0;0
;0,34100;-0,01300;0,01100;0;0
;0,34200;-0,06400;0,01000;0;0
;0,34200;0,02900;0,00700;0;0
;0,34300;0,02100;0,00500;0;0
;0,34300;0,04000;0,00300;0;0
;0,34400;-0,01700;0,00100;0;0
;0,34400;0,00800;-0,00100;0;0
;0,34500;-0,03700;-0,00200;0;0
;0,34500;-0,04100;-0,00400;0;0
;0,34600;-0,01800;-0,00500;0;0
;0,34600;0,00500;-0,00600;0;0
;0,34700;0,00400;-0,00700;0;0
;0,34700;-0,00600;-0,00800;0;0
;0,34800;-0,07000;-0,00900;0;0
;0,34800;-0,00800;-0,01000;0;0
;0,34900;-0,04000;-0,01000;0;0
;0,34900;-0,01800;-0,01100;0;0
;0,35000;-0,04900;-0,01200;0;0
;0,35000;0,04300;-0,01300;0;0
;0,35100;-0,00700;-0,01400;0;0
;0,35100;0,00000;-0,01500;0;0
;0,35200;-0,03700;-0,01500;0;0
;0,35200;0,00500;-0,01600;0;0
;0,35300;-0,01700;-0,01600;0;0
;0,35300;-0,02400;-0,01600;0;0
;0,35400;-0,00600;-0,01600;0;0
;0,35400;-0,02900;-0,01600;0;0
;0,35500;-0,03800;-0,01600;0;0
;0,35500;-0,01000;-0,01600;0;0
